date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,lat,lon
2004-10-01,23.95,31.11,18.32,0.0,20.33,37.009299851719646,28.726390924628014
2004-10-02,22.47,31.42,15.07,0.0,20.13,37.009299851719646,28.726390924628014
2004-10-03,21.92,30.11,15.33,0.0,19.71,37.009299851719646,28.726390924628014
2004-10-04,20.86,27.92,14.75,0.0,18.44,37.009299851719646,28.726390924628014
2004-10-05,19.88,26.37,15.75,10.4,12.25,37.009299851719646,28.726390924628014
2004-10-06,16.17,20.29,13.64,8.52,8.94,37.009299851719646,28.726390924628014
2004-10-07,15.81,18.62,12.44,6.89,11.05,37.009299851719646,28.726390924628014
2004-10-08,16.07,18.89,12.93,6.54,10.96,37.009299851719646,28.726390924628014
2004-10-09,16.95,24.03,10.33,0.28,16.32,37.009299851719646,28.726390924628014
2004-10-10,18.16,25.33,11.47,0.0,18.36,37.009299851719646,28.726390924628014
2004-10-11,19.0,26.21,13.19,0.0,17.92,37.009299851719646,28.726390924628014
2004-10-12,20.67,28.58,14.07,0.0,16.8,37.009299851719646,28.726390924628014
2004-10-13,20.93,27.77,15.24,0.01,13.36,37.009299851719646,28.726390924628014
2004-10-14,19.97,26.1,15.05,0.0,16.66,37.009299851719646,28.726390924628014
2004-10-15,21.03,28.13,15.94,0.0,15.56,37.009299851719646,28.726390924628014
2004-10-16,21.95,28.78,15.97,0.0,15.4,37.009299851719646,28.726390924628014
2004-10-17,22.19,29.01,17.41,0.0,13.61,37.009299851719646,28.726390924628014
2004-10-18,21.46,28.65,16.6,0.0,16.32,37.009299851719646,28.726390924628014
2004-10-19,21.02,28.44,15.57,0.0,15.98,37.009299851719646,28.726390924628014
2004-10-20,21.24,29.78,14.36,0.0,15.85,37.009299851719646,28.726390924628014
2004-10-21,20.7,28.1,15.25,0.0,16.06,37.009299851719646,28.726390924628014
2004-10-22,20.38,27.52,14.23,0.0,15.39,37.009299851719646,28.726390924628014
2004-10-23,19.32,25.93,13.98,0.0,15.8,37.009299851719646,28.726390924628014
2004-10-24,19.03,25.08,14.8,0.0,15.52,37.009299851719646,28.726390924628014
2004-10-25,19.25,25.41,13.84,0.0,14.68,37.009299851719646,28.726390924628014
2004-10-26,19.39,26.21,14.74,0.0,14.58,37.009299851719646,28.726390924628014
2004-10-27,18.7,23.54,14.92,0.0,13.95,37.009299851719646,28.726390924628014
2004-10-28,18.38,23.32,14.54,0.0,12.62,37.009299851719646,28.726390924628014
2004-10-29,18.79,25.37,13.58,0.0,14.21,37.009299851719646,28.726390924628014
2004-10-30,18.62,25.31,13.46,0.0,13.82,37.009299851719646,28.726390924628014
2004-10-31,19.21,27.45,12.48,0.0,14.31,37.009299851719646,28.726390924628014
2004-11-01,18.74,26.51,12.21,0.0,14.29,37.009299851719646,28.726390924628014
2004-11-02,18.97,26.64,12.19,0.0,14.12,37.009299851719646,28.726390924628014
2004-11-03,19.12,26.34,12.81,0.0,13.28,37.009299851719646,28.726390924628014
2004-11-04,18.49,25.32,12.52,0.11,12.5,37.009299851719646,28.726390924628014
2004-11-05,17.22,22.5,12.87,3.37,11.07,37.009299851719646,28.726390924628014
2004-11-06,15.6,18.14,12.31,7.33,6.39,37.009299851719646,28.726390924628014
2004-11-07,14.61,18.43,11.55,3.84,9.34,37.009299851719646,28.726390924628014
2004-11-08,14.4,17.88,12.22,21.16,7.34,37.009299851719646,28.726390924628014
2004-11-09,14.65,17.33,12.47,18.62,7.51,37.009299851719646,28.726390924628014
2004-11-10,14.52,17.93,12.87,10.45,10.39,37.009299851719646,28.726390924628014
2004-11-11,15.12,19.06,11.24,0.1,11.48,37.009299851719646,28.726390924628014
2004-11-12,16.43,22.9,11.45,0.0,12.03,37.009299851719646,28.726390924628014
2004-11-13,16.38,22.85,12.36,0.0,11.74,37.009299851719646,28.726390924628014
2004-11-14,15.27,19.35,11.94,0.33,4.57,37.009299851719646,28.726390924628014
2004-11-15,16.08,19.02,13.85,19.03,5.72,37.009299851719646,28.726390924628014
2004-11-16,14.53,17.37,11.81,10.95,6.43,37.009299851719646,28.726390924628014
2004-11-17,11.17,15.2,6.63,7.44,6.85,37.009299851719646,28.726390924628014
2004-11-18,9.89,17.68,3.7,0.0,13.11,37.009299851719646,28.726390924628014
2004-11-19,10.67,14.55,6.95,2.42,11.72,37.009299851719646,28.726390924628014
2004-11-20,13.2,15.2,11.22,25.04,2.63,37.009299851719646,28.726390924628014
2004-11-21,7.03,12.79,0.15,1.83,10.52,37.009299851719646,28.726390924628014
2004-11-22,1.07,6.27,-2.31,0.0,11.4,37.009299851719646,28.726390924628014
2004-11-23,2.05,9.6,-3.53,0.0,12.17,37.009299851719646,28.726390924628014
2004-11-24,6.29,11.14,0.58,12.32,7.36,37.009299851719646,28.726390924628014
2004-11-25,6.2,11.39,0.03,12.99,5.78,37.009299851719646,28.726390924628014
2004-11-26,0.16,5.68,-3.35,0.0,11.45,37.009299851719646,28.726390924628014
2004-11-27,3.61,12.29,-3.61,0.0,11.81,37.009299851719646,28.726390924628014
2004-11-28,6.65,12.13,1.29,0.86,10.96,37.009299851719646,28.726390924628014
2004-11-29,8.78,11.22,7.16,1.75,4.4,37.009299851719646,28.726390924628014
2004-11-30,9.4,13.03,6.61,0.09,5.48,37.009299851719646,28.726390924628014
2004-12-01,9.46,15.56,5.16,0.08,7.97,37.009299851719646,28.726390924628014
2004-12-02,10.43,15.66,5.64,0.0,9.74,37.009299851719646,28.726390924628014
2004-12-03,11.34,17.09,6.92,0.0,9.86,37.009299851719646,28.726390924628014
2004-12-04,11.42,16.48,8.05,0.0,8.87,37.009299851719646,28.726390924628014
2004-12-05,10.02,13.09,7.26,0.85,3.59,37.009299851719646,28.726390924628014
2004-12-06,9.74,17.14,5.59,0.0,9.75,37.009299851719646,28.726390924628014
2004-12-07,9.09,15.32,4.05,0.89,5.93,37.009299851719646,28.726390924628014
2004-12-08,7.08,13.99,1.39,0.0,10.78,37.009299851719646,28.726390924628014
2004-12-09,9.3,13.04,5.2,0.0,9.73,37.009299851719646,28.726390924628014
2004-12-10,8.74,13.89,3.5,1.39,6.57,37.009299851719646,28.726390924628014
2004-12-11,8.1,14.26,2.11,1.57,9.91,37.009299851719646,28.726390924628014
2004-12-12,5.8,12.63,0.33,0.0,10.42,37.009299851719646,28.726390924628014
2004-12-13,6.76,13.65,2.56,0.0,10.64,37.009299851719646,28.726390924628014
2004-12-14,5.95,14.33,1.01,0.0,10.49,37.009299851719646,28.726390924628014
2004-12-15,2.57,8.99,-1.59,0.0,11.32,37.009299851719646,28.726390924628014
2004-12-16,3.21,10.41,-3.2,0.0,10.61,37.009299851719646,28.726390924628014
2004-12-17,6.96,10.73,4.42,0.05,8.2,37.009299851719646,28.726390924628014
2004-12-18,7.0,8.65,4.98,9.42,3.05,37.009299851719646,28.726390924628014
2004-12-19,9.21,10.46,7.97,50.87,2.22,37.009299851719646,28.726390924628014
2004-12-20,8.61,12.7,6.37,12.01,6.29,37.009299851719646,28.726390924628014
2004-12-21,9.18,11.26,6.98,24.38,4.45,37.009299851719646,28.726390924628014
2004-12-22,10.08,11.25,8.15,31.22,2.11,37.009299851719646,28.726390924628014
2004-12-23,7.73,11.32,3.03,1.01,5.56,37.009299851719646,28.726390924628014
2004-12-24,4.51,11.08,0.96,0.41,9.27,37.009299851719646,28.726390924628014
2004-12-25,5.17,13.09,-0.6,0.0,10.58,37.009299851719646,28.726390924628014
2004-12-26,6.31,11.97,1.61,0.0,9.97,37.009299851719646,28.726390924628014
2004-12-27,7.53,11.0,4.78,0.11,4.38,37.009299851719646,28.726390924628014
2004-12-28,9.6,12.75,7.0,0.12,5.49,37.009299851719646,28.726390924628014
2004-12-29,10.6,12.35,7.96,2.12,3.96,37.009299851719646,28.726390924628014
2004-12-30,10.89,13.44,9.19,1.22,4.78,37.009299851719646,28.726390924628014
2004-12-31,10.4,15.19,7.69,1.01,7.42,37.009299851719646,28.726390924628014
2005-01-01,9.92,13.84,4.82,1.87,8.15,37.009299851719646,28.726390924628014
2005-01-02,5.35,11.04,1.95,1.56,8.25,37.009299851719646,28.726390924628014
2005-01-03,4.11,11.07,-0.35,0.0,9.46,37.009299851719646,28.726390924628014
2005-01-04,5.16,9.58,0.98,0.0,8.18,37.009299851719646,28.726390924628014
2005-01-05,2.67,8.9,-1.29,0.0,10.23,37.009299851719646,28.726390924628014
2005-01-06,4.18,12.33,-1.06,0.0,11.3,37.009299851719646,28.726390924628014
2005-01-07,5.8,11.85,1.0,0.51,6.84,37.009299851719646,28.726390924628014
2005-01-08,6.19,13.1,1.35,0.29,10.86,37.009299851719646,28.726390924628014
2005-01-09,5.62,14.86,-0.84,0.0,11.31,37.009299851719646,28.726390924628014
2005-01-10,7.24,16.84,1.54,0.0,11.2,37.009299851719646,28.726390924628014
2005-01-11,8.45,16.54,2.07,0.0,11.57,37.009299851719646,28.726390924628014
2005-01-12,8.81,14.23,4.97,0.0,11.06,37.009299851719646,28.726390924628014
2005-01-13,7.97,12.92,4.1,0.0,10.17,37.009299851719646,28.726390924628014
2005-01-14,7.78,10.3,5.44,1.73,5.59,37.009299851719646,28.726390924628014
2005-01-15,7.04,11.4,4.41,8.16,5.5,37.009299851719646,28.726390924628014
2005-01-16,5.76,9.36,2.3,28.12,2.87,37.009299851719646,28.726390924628014
2005-01-17,6.13,8.41,4.31,14.05,7.54,37.009299851719646,28.726390924628014
2005-01-18,6.2,11.27,2.86,7.49,10.84,37.009299851719646,28.726390924628014
2005-01-19,5.83,7.75,3.46,3.81,6.56,37.009299851719646,28.726390924628014
2005-01-20,7.46,9.23,4.53,6.03,6.08,37.009299851719646,28.726390924628014
2005-01-21,7.65,9.76,5.63,34.31,2.72,37.009299851719646,28.726390924628014
2005-01-22,6.45,7.91,4.7,13.68,4.63,37.009299851719646,28.726390924628014
2005-01-23,5.37,9.61,-2.16,8.07,8.69,37.009299851719646,28.726390924628014
2005-01-24,1.7,8.37,-3.6,0.06,12.83,37.009299851719646,28.726390924628014
2005-01-25,8.07,10.71,3.02,11.51,4.08,37.009299851719646,28.726390924628014
2005-01-26,9.92,11.59,8.62,4.57,6.79,37.009299851719646,28.726390924628014
2005-01-27,10.45,11.7,8.9,1.18,7.03,37.009299851719646,28.726390924628014
2005-01-28,11.16,13.22,8.99,0.85,5.82,37.009299851719646,28.726390924628014
2005-01-29,11.57,14.19,8.81,0.63,7.87,37.009299851719646,28.726390924628014
2005-01-30,8.8,13.16,3.14,2.11,9.71,37.009299851719646,28.726390924628014
2005-01-31,4.9,8.31,1.12,8.44,5.3,37.009299851719646,28.726390924628014
2005-02-01,3.86,8.2,-0.66,0.52,11.61,37.009299851719646,28.726390924628014
2005-02-02,4.76,8.72,0.91,1.98,7.39,37.009299851719646,28.726390924628014
2005-02-03,6.57,8.56,3.13,46.44,4.03,37.009299851719646,28.726390924628014
2005-02-04,3.19,5.49,0.02,7.11,8.96,37.009299851719646,28.726390924628014
2005-02-05,2.87,9.51,-2.75,0.09,10.47,37.009299851719646,28.726390924628014
2005-02-06,1.5,8.08,-2.0,0.03,14.25,37.009299851719646,28.726390924628014
2005-02-07,0.24,5.54,-2.87,0.39,14.36,37.009299851719646,28.726390924628014
2005-02-08,-0.44,5.82,-3.54,0.0,14.35,37.009299851719646,28.726390924628014
2005-02-09,1.24,8.05,-4.24,0.06,15.36,37.009299851719646,28.726390924628014
2005-02-10,2.23,4.19,0.47,0.03,14.66,37.009299851719646,28.726390924628014
2005-02-11,2.13,5.77,-1.43,0.0,15.44,37.009299851719646,28.726390924628014
2005-02-12,2.38,8.48,-3.52,0.02,15.84,37.009299851719646,28.726390924628014
2005-02-13,4.31,8.26,0.42,0.52,12.75,37.009299851719646,28.726390924628014
2005-02-14,7.8,10.24,5.02,32.28,4.86,37.009299851719646,28.726390924628014
2005-02-15,9.37,11.57,8.07,10.61,5.5,37.009299851719646,28.726390924628014
2005-02-16,8.77,10.29,7.49,4.81,5.8,37.009299851719646,28.726390924628014
2005-02-17,8.86,11.69,6.12,4.82,8.45,37.009299851719646,28.726390924628014
2005-02-18,8.5,12.24,5.1,31.67,10.48,37.009299851719646,28.726390924628014
2005-02-19,6.92,12.35,2.16,0.45,15.03,37.009299851719646,28.726390924628014
2005-02-20,6.84,9.21,4.58,3.64,12.62,37.009299851719646,28.726390924628014
2005-02-21,7.48,9.9,5.6,3.83,7.13,37.009299851719646,28.726390924628014
2005-02-22,7.85,10.8,5.94,0.37,10.55,37.009299851719646,28.726390924628014
2005-02-23,8.3,11.03,5.87,1.77,6.76,37.009299851719646,28.726390924628014
2005-02-24,8.87,12.94,6.13,0.8,13.71,37.009299851719646,28.726390924628014
2005-02-25,8.03,14.15,2.12,0.01,15.91,37.009299851719646,28.726390924628014
2005-02-26,6.77,8.7,4.15,1.11,5.97,37.009299851719646,28.726390924628014
2005-02-27,10.07,12.9,8.6,5.96,8.23,37.009299851719646,28.726390924628014
2005-02-28,9.11,10.43,7.25,8.46,2.9,37.009299851719646,28.726390924628014
2005-03-01,11.43,14.56,9.13,1.78,5.6,37.009299851719646,28.726390924628014
2005-03-02,12.94,15.18,11.36,1.07,5.83,37.009299851719646,28.726390924628014
2005-03-03,9.16,13.02,2.57,3.27,9.59,37.009299851719646,28.726390924628014
2005-03-04,7.45,15.76,-0.18,0.02,20.01,37.009299851719646,28.726390924628014
2005-03-05,7.92,10.86,4.43,4.01,6.08,37.009299851719646,28.726390924628014
2005-03-06,11.05,12.32,8.95,19.68,6.38,37.009299851719646,28.726390924628014
2005-03-07,10.36,13.54,7.9,7.46,11.08,37.009299851719646,28.726390924628014
2005-03-08,8.17,11.06,5.55,13.85,5.76,37.009299851719646,28.726390924628014
2005-03-09,6.33,9.33,2.85,3.23,11.67,37.009299851719646,28.726390924628014
2005-03-10,4.05,8.18,0.52,0.39,17.57,37.009299851719646,28.726390924628014
2005-03-11,2.4,6.91,-2.98,5.56,8.35,37.009299851719646,28.726390924628014
2005-03-12,2.97,10.06,-4.12,0.0,21.33,37.009299851719646,28.726390924628014
2005-03-13,5.22,9.75,0.57,0.03,12.66,37.009299851719646,28.726390924628014
2005-03-14,7.54,13.12,1.22,0.04,15.15,37.009299851719646,28.726390924628014
2005-03-15,9.59,16.68,2.66,0.0,20.56,37.009299851719646,28.726390924628014
2005-03-16,10.39,18.08,3.6,0.0,20.79,37.009299851719646,28.726390924628014
2005-03-17,10.76,18.26,3.78,0.0,21.69,37.009299851719646,28.726390924628014
2005-03-18,11.74,18.94,5.07,0.0,21.81,37.009299851719646,28.726390924628014
2005-03-19,12.54,19.3,5.81,0.0,21.81,37.009299851719646,28.726390924628014
2005-03-20,12.61,18.12,7.08,0.02,18.51,37.009299851719646,28.726390924628014
2005-03-21,11.26,18.08,5.63,0.0,21.95,37.009299851719646,28.726390924628014
2005-03-22,8.95,16.29,3.2,0.03,16.73,37.009299851719646,28.726390924628014
2005-03-23,6.47,14.32,-0.53,0.0,23.02,37.009299851719646,28.726390924628014
2005-03-24,8.42,15.88,0.94,0.0,22.59,37.009299851719646,28.726390924628014
2005-03-25,9.93,16.61,2.63,0.0,23.11,37.009299851719646,28.726390924628014
2005-03-26,10.39,15.65,6.2,0.0,15.47,37.009299851719646,28.726390924628014
2005-03-27,12.1,16.81,7.63,0.05,16.59,37.009299851719646,28.726390924628014
2005-03-28,12.48,16.82,8.75,0.0,16.32,37.009299851719646,28.726390924628014
2005-03-29,11.83,14.54,8.15,0.0,11.31,37.009299851719646,28.726390924628014
2005-03-30,12.24,17.05,6.86,0.16,16.83,37.009299851719646,28.726390924628014
2005-03-31,12.36,16.36,9.73,4.58,3.25,37.009299851719646,28.726390924628014
2005-04-01,11.23,15.41,6.86,0.65,9.09,37.009299851719646,28.726390924628014
2005-04-02,7.42,12.99,3.35,1.94,12.21,37.009299851719646,28.726390924628014
2005-04-03,5.28,11.54,-0.29,1.73,17.61,37.009299851719646,28.726390924628014
2005-04-04,6.66,14.49,-1.71,0.0,25.97,37.009299851719646,28.726390924628014
2005-04-05,7.62,12.09,2.95,0.0,18.99,37.009299851719646,28.726390924628014
2005-04-06,9.02,15.19,1.2,0.0,20.73,37.009299851719646,28.726390924628014
2005-04-07,11.84,15.74,7.64,0.01,8.92,37.009299851719646,28.726390924628014
2005-04-08,12.88,17.51,8.78,0.0,15.51,37.009299851719646,28.726390924628014
2005-04-09,16.79,23.55,8.95,0.0,24.03,37.009299851719646,28.726390924628014
2005-04-10,18.11,23.95,10.72,0.0,23.68,37.009299851719646,28.726390924628014
2005-04-11,18.75,23.28,12.89,0.0,23.4,37.009299851719646,28.726390924628014
2005-04-12,18.91,23.52,14.21,0.0,19.54,37.009299851719646,28.726390924628014
2005-04-13,14.35,17.76,8.93,0.0,25.08,37.009299851719646,28.726390924628014
2005-04-14,10.72,13.45,8.24,10.85,10.33,37.009299851719646,28.726390924628014
2005-04-15,11.16,14.36,8.32,7.27,13.13,37.009299851719646,28.726390924628014
2005-04-16,12.53,18.33,5.88,0.0,23.99,37.009299851719646,28.726390924628014
2005-04-17,13.93,19.57,9.83,0.0,12.6,37.009299851719646,28.726390924628014
2005-04-18,13.17,17.36,8.74,1.68,11.54,37.009299851719646,28.726390924628014
2005-04-19,11.51,15.71,7.54,0.94,19.47,37.009299851719646,28.726390924628014
2005-04-20,12.67,17.8,7.45,0.0,23.2,37.009299851719646,28.726390924628014
2005-04-21,15.72,20.64,8.25,0.02,20.37,37.009299851719646,28.726390924628014
2005-04-22,16.05,19.92,11.9,0.69,14.74,37.009299851719646,28.726390924628014
2005-04-23,13.25,17.5,7.95,0.38,23.44,37.009299851719646,28.726390924628014
2005-04-24,13.24,20.93,5.63,0.0,28.46,37.009299851719646,28.726390924628014
2005-04-25,15.49,22.72,7.6,0.0,26.5,37.009299851719646,28.726390924628014
2005-04-26,17.99,25.0,10.03,0.0,23.23,37.009299851719646,28.726390924628014
2005-04-27,18.13,23.24,12.13,0.0,27.07,37.009299851719646,28.726390924628014
2005-04-28,16.05,22.74,9.65,0.0,28.28,37.009299851719646,28.726390924628014
2005-04-29,15.33,20.82,9.48,0.75,21.04,37.009299851719646,28.726390924628014
2005-04-30,12.29,18.5,6.76,0.24,22.68,37.009299851719646,28.726390924628014
2005-05-01,12.9,19.93,6.4,0.0,27.9,37.009299851719646,28.726390924628014
2005-05-02,13.44,20.49,6.52,0.0,25.41,37.009299851719646,28.726390924628014
2005-05-03,14.55,21.47,7.27,0.0,24.78,37.009299851719646,28.726390924628014
2005-05-04,15.35,21.7,9.69,0.0,28.16,37.009299851719646,28.726390924628014
2005-05-05,17.08,24.1,10.32,0.0,24.52,37.009299851719646,28.726390924628014
2005-05-06,17.21,22.15,12.8,0.0,21.6,37.009299851719646,28.726390924628014
2005-05-07,15.8,19.75,11.48,2.67,16.03,37.009299851719646,28.726390924628014
2005-05-08,14.06,18.36,10.86,19.24,21.55,37.009299851719646,28.726390924628014
2005-05-09,14.45,20.79,8.2,0.0,29.71,37.009299851719646,28.726390924628014
2005-05-10,15.79,21.5,9.73,0.0,29.92,37.009299851719646,28.726390924628014
2005-05-11,18.31,25.0,11.0,0.0,28.12,37.009299851719646,28.726390924628014
2005-05-12,20.77,27.75,12.0,0.0,27.1,37.009299851719646,28.726390924628014
2005-05-13,21.55,27.21,16.35,0.0,25.69,37.009299851719646,28.726390924628014
2005-05-14,20.06,26.31,13.57,0.02,27.86,37.009299851719646,28.726390924628014
2005-05-15,19.6,26.62,13.32,0.0,24.98,37.009299851719646,28.726390924628014
2005-05-16,21.03,27.52,13.0,0.0,29.55,37.009299851719646,28.726390924628014
2005-05-17,21.88,27.95,14.64,0.0,29.8,37.009299851719646,28.726390924628014
2005-05-18,22.56,29.0,14.2,0.0,30.0,37.009299851719646,28.726390924628014
2005-05-19,23.27,29.79,17.53,0.0,20.85,37.009299851719646,28.726390924628014
2005-05-20,19.9,24.71,14.82,0.0,24.45,37.009299851719646,28.726390924628014
2005-05-21,17.16,22.29,11.83,0.04,27.86,37.009299851719646,28.726390924628014
2005-05-22,17.54,22.71,12.63,0.03,22.12,37.009299851719646,28.726390924628014
2005-05-23,18.47,25.09,11.43,0.0,25.95,37.009299851719646,28.726390924628014
2005-05-24,20.16,26.72,12.63,0.0,28.33,37.009299851719646,28.726390924628014
2005-05-25,20.0,24.87,14.4,1.64,19.93,37.009299851719646,28.726390924628014
2005-05-26,18.29,22.86,14.06,3.36,14.54,37.009299851719646,28.726390924628014
2005-05-27,18.86,23.6,13.73,0.07,20.69,37.009299851719646,28.726390924628014
2005-05-28,18.26,22.63,13.25,0.4,22.56,37.009299851719646,28.726390924628014
2005-05-29,18.65,22.46,14.06,7.44,19.04,37.009299851719646,28.726390924628014
2005-05-30,19.18,24.36,13.72,4.86,17.58,37.009299851719646,28.726390924628014
2005-05-31,17.7,21.98,14.83,19.46,16.22,37.009299851719646,28.726390924628014
2005-06-01,17.68,20.44,14.85,3.64,19.02,37.009299851719646,28.726390924628014
2005-06-02,20.15,26.62,13.16,0.7,25.81,37.009299851719646,28.726390924628014
2005-06-03,20.7,25.55,14.54,0.48,23.94,37.009299851719646,28.726390924628014
2005-06-04,21.81,26.54,15.83,0.0,29.45,37.009299851719646,28.726390924628014
2005-06-05,22.07,28.38,15.71,0.0,30.16,37.009299851719646,28.726390924628014
2005-06-06,21.82,28.03,14.72,0.0,30.07,37.009299851719646,28.726390924628014
2005-06-07,21.74,27.76,16.0,0.0,31.7,37.009299851719646,28.726390924628014
2005-06-08,22.25,30.29,13.91,0.0,30.95,37.009299851719646,28.726390924628014
2005-06-09,23.23,31.06,14.41,0.0,30.56,37.009299851719646,28.726390924628014
2005-06-10,22.32,29.0,15.92,0.01,28.77,37.009299851719646,28.726390924628014
2005-06-11,20.04,25.36,15.33,0.32,25.6,37.009299851719646,28.726390924628014
2005-06-12,20.43,27.15,12.49,0.0,31.05,37.009299851719646,28.726390924628014
2005-06-13,22.03,29.12,13.65,0.0,31.25,37.009299851719646,28.726390924628014
2005-06-14,23.09,30.26,14.81,0.13,29.05,37.009299851719646,28.726390924628014
2005-06-15,23.14,29.67,16.21,0.0,29.48,37.009299851719646,28.726390924628014
2005-06-16,23.72,30.51,16.61,0.0,30.62,37.009299851719646,28.726390924628014
2005-06-17,25.41,31.8,18.26,0.0,26.06,37.009299851719646,28.726390924628014
2005-06-18,26.64,34.13,18.99,0.0,29.5,37.009299851719646,28.726390924628014
2005-06-19,25.43,32.83,18.74,0.0,29.52,37.009299851719646,28.726390924628014
2005-06-20,24.82,32.07,17.25,0.0,27.09,37.009299851719646,28.726390924628014
2005-06-21,23.45,29.27,17.14,0.0,28.44,37.009299851719646,28.726390924628014
2005-06-22,23.98,31.0,16.89,0.0,31.44,37.009299851719646,28.726390924628014
2005-06-23,23.89,30.38,16.59,0.0,30.42,37.009299851719646,28.726390924628014
2005-06-24,25.94,33.7,17.05,0.0,31.49,37.009299851719646,28.726390924628014
2005-06-25,25.11,33.08,16.65,0.0,31.7,37.009299851719646,28.726390924628014
2005-06-26,25.72,34.17,17.21,0.0,31.89,37.009299851719646,28.726390924628014
2005-06-27,26.43,34.69,17.46,0.0,31.72,37.009299851719646,28.726390924628014
2005-06-28,27.41,35.14,19.0,0.0,30.88,37.009299851719646,28.726390924628014
2005-06-29,27.6,34.6,20.18,0.35,27.47,37.009299851719646,28.726390924628014
2005-06-30,27.65,34.58,20.94,0.0,30.63,37.009299851719646,28.726390924628014
2005-07-01,28.81,37.26,18.67,0.01,30.31,37.009299851719646,28.726390924628014
2005-07-02,29.52,36.61,22.85,0.09,29.02,37.009299851719646,28.726390924628014
2005-07-03,24.88,29.89,20.19,0.27,27.38,37.009299851719646,28.726390924628014
2005-07-04,22.77,27.14,18.31,1.64,19.9,37.009299851719646,28.726390924628014
2005-07-05,24.96,31.87,17.09,0.01,24.87,37.009299851719646,28.726390924628014
2005-07-06,26.16,33.33,18.62,0.0,31.4,37.009299851719646,28.726390924628014
2005-07-07,27.5,35.09,18.53,0.0,30.78,37.009299851719646,28.726390924628014
2005-07-08,29.43,36.72,20.84,0.34,29.12,37.009299851719646,28.726390924628014
2005-07-09,30.19,37.25,22.14,0.0,27.93,37.009299851719646,28.726390924628014
2005-07-10,31.08,38.85,22.42,0.0,30.3,37.009299851719646,28.726390924628014
2005-07-11,31.69,40.25,22.6,0.0,30.68,37.009299851719646,28.726390924628014
2005-07-12,31.67,39.76,23.52,0.0,29.2,37.009299851719646,28.726390924628014
2005-07-13,29.95,37.06,23.6,0.0,30.51,37.009299851719646,28.726390924628014
2005-07-14,28.8,35.56,21.34,0.0,27.98,37.009299851719646,28.726390924628014
2005-07-15,27.86,33.93,20.98,0.67,21.64,37.009299851719646,28.726390924628014
2005-07-16,27.13,33.16,21.18,0.15,27.11,37.009299851719646,28.726390924628014
2005-07-17,27.5,34.23,20.07,0.0,30.17,37.009299851719646,28.726390924628014
2005-07-18,29.05,36.23,20.99,0.0,29.65,37.009299851719646,28.726390924628014
2005-07-19,30.21,37.93,22.75,0.0,29.77,37.009299851719646,28.726390924628014
2005-07-20,32.22,40.89,22.43,0.0,29.59,37.009299851719646,28.726390924628014
2005-07-21,31.98,38.64,24.85,0.0,29.81,37.009299851719646,28.726390924628014
2005-07-22,30.23,37.03,23.42,0.0,29.55,37.009299851719646,28.726390924628014
2005-07-23,29.31,36.07,22.44,0.0,28.74,37.009299851719646,28.726390924628014
2005-07-24,29.62,37.26,21.37,0.0,29.24,37.009299851719646,28.726390924628014
2005-07-25,30.58,38.03,22.58,0.0,28.86,37.009299851719646,28.726390924628014
2005-07-26,30.18,37.24,23.44,0.0,28.4,37.009299851719646,28.726390924628014
2005-07-27,31.73,39.12,24.03,0.0,26.97,37.009299851719646,28.726390924628014
2005-07-28,32.23,39.27,25.49,0.04,22.67,37.009299851719646,28.726390924628014
2005-07-29,31.42,39.08,24.04,0.0,28.93,37.009299851719646,28.726390924628014
2005-07-30,31.34,38.94,24.62,3.54,23.79,37.009299851719646,28.726390924628014
2005-07-31,30.64,37.26,24.59,0.64,26.21,37.009299851719646,28.726390924628014
2005-08-01,30.37,36.88,24.43,0.0,26.72,37.009299851719646,28.726390924628014
2005-08-02,31.06,38.26,23.45,0.02,26.89,37.009299851719646,28.726390924628014
2005-08-03,30.41,37.97,23.17,0.0,28.35,37.009299851719646,28.726390924628014
2005-08-04,29.82,37.95,22.6,0.0,28.61,37.009299851719646,28.726390924628014
2005-08-05,27.9,34.53,22.5,0.0,28.05,37.009299851719646,28.726390924628014
2005-08-06,24.41,28.72,20.7,0.23,25.4,37.009299851719646,28.726390924628014
2005-08-07,23.61,28.71,19.2,6.32,20.17,37.009299851719646,28.726390924628014
2005-08-08,25.52,32.66,18.51,0.0,28.69,37.009299851719646,28.726390924628014
2005-08-09,27.52,36.01,18.39,0.0,28.54,37.009299851719646,28.726390924628014
2005-08-10,29.51,37.16,20.53,0.0,27.4,37.009299851719646,28.726390924628014
2005-08-11,30.89,37.91,23.4,0.0,27.02,37.009299851719646,28.726390924628014
2005-08-12,30.74,38.54,23.55,0.0,26.97,37.009299851719646,28.726390924628014
2005-08-13,31.75,40.02,23.52,0.0,27.63,37.009299851719646,28.726390924628014
2005-08-14,31.24,38.72,24.55,0.0,27.43,37.009299851719646,28.726390924628014
2005-08-15,29.01,35.95,23.05,0.0,27.72,37.009299851719646,28.726390924628014
2005-08-16,27.82,34.4,21.21,0.0,26.18,37.009299851719646,28.726390924628014
2005-08-17,27.42,33.92,21.87,0.0,27.18,37.009299851719646,28.726390924628014
2005-08-18,26.95,34.23,19.99,0.0,26.81,37.009299851719646,28.726390924628014
2005-08-19,28.84,37.54,20.21,0.0,26.74,37.009299851719646,28.726390924628014
